ALL INPUT IS WELCOME - THANK YOU,,,,,,
RANK,LEMMA,PoS,GERMANIC,GERMANIC-LIKE,DETAILS,
,`internalize,vb,take (sth) to heart,,,
,`interrupt,vb,"cut smn off, cut in, cut into, wade in, jump in, stop",,,
,`intervene,vb,step in,,,
,`intimate,adj,"dear, near and dear",close,,
,`intimidating,adj,"scary, forbidding, fearsome, fazing",daunting,,
,`introspection,n,"looking inwards, looking inside",soul-searching,,
,`invent,vb,"come up with, think up, make up",,,
,`investigate,vb,,,[S] examine,
,`involved,adj,in the thick of sth/things,,[S] involve,
,`irrelevant,adj,nether here nor there,,"[S] unimportant, matter",
,`irritate,vb,,,[S] annoy,
,`irritating,adj,,,[S] annoying,
,`isolated incident,phr,"one-off, one-time, one time thing",,,KEEP?
,`join,vb,"get on board, come with smn, get in",,,
,`joke,n,"gag, wind-up, one-liner, tagline, funny, bit, prank, skit",,,
,`joke,vb,"play with, fool with, mess with, make light of, wind up","fool around, mess around",,
,`jokingly,adv,"in (good) fun, for fun, kiddingly",,,
,`journalist,n,talking head,,[S] pundit,
,`joy,n,"happiness, glee, gleefulness, bliss, blissfulness, gladness",,,
,`joyful,adj,"blissful, gleeful, glad, chuffed, happy, thankful",,,
,`judge,vb,"[D1|to give an opinion about an issue or dispute] settle, deem, hear, weigh, find (for/against) [D2|to form an opinion or reach a conclusion through reasoning and information] gather, make out, understand",rule (on),"[G1] Judging by
[S|G1] base",
,`judgment,n,"[D1|a decision made by a court or tribunal regarding a case it has heard] doom, finding, holding [D2|a position arrived at after consideration] call, word, last word, say-so",,,
,`jump,n,"jump, leap, hop",,,
,`jump,vb,"jump, leap, hop",,,
,`just,adj,"[D1|being what is called for by accepted standards of right and wrong] fair, right, rightful [D2|based on sound reasoning or information] [D3|conforming to a high standard of morality or virtue] all right, good, right, right-minded, straight, true, upright, seemly",,[S|D2] valid,
,`justification,n,,,[S] reason,
,`justified,adj,rightful,,,
,`juvenile,adj,childish,,,
,`kill,vb,"kill, murder, do in, take out, slay, off, slaughter, gun down, take smn's life, put smn away",,,
,`killjoy,n,buzzkill,,,
,`knowledgeable,adj,,,[S] familiar,
,`labyrinth,n,maze,,,
,`largely,adv,"overall, mostly, mainly, on the whole, in the main, first and foremost",for the most part,"[S] predominantly, in most cases, generally",
,`latitude,n,"leeway, wiggle room, slack",,,
,`lavishly,adv,,,[S] generously,
,"`lecture, `scold, `reprimand",vb,chew out,,,
,`legal,adj,lawful,,,
,`legitimize,vb,give/lend weight (to),,,
,`leniency,n,"leeway, breathing room",,,
,`lethal,adj,"deadly, life-threatening",,,
,`levitate,vb,"float, hover",,,
,`liberate,vb,free,,,
,`liberating,adj,freeing,,,
,`liberty,n,freedom,,,
,`lifestyle,n,"way of life, way of living, walk of life, how one lives",,,
,`likeable,adj,"friendly, sweet, lovely, kind, wholesome, laid-back, mellow",easygoing,,
,`limit,n,"[D1|a real or imaginary point beyond which smn/sth cannot go] cutoff, bound, line, brim, edge, end, wall, rim, stop [D2|the most extreme or advanced point] height, depth",,,
,`limit,vb,"[D1|to set bounds] narrow, hold down, tighten, hamper, hinder, quell, keep (smn/sth) to, tie down",,,
,`limitless,adj,,,[S] unlimited,
,`location,n,whereabouts,,,
,`long-term,adj,(in the) long run,long haul,,
,`lunch,n,midday meal,,,
,`maintain,vb,"keep, keep up, hold, uphold, hold on, keep sth going, keep sth up",,,
,`maintenance,n,upkeep,,,
,`maneuvering,n,footwork,,,
,`manner,n,"way, kind",,,
,`manually,adv,"by hand, on one's own",,,
,`marginally,adv,,,[S] just,
,`masculine,adj,"manly, hunky, strong, well-built, rugged, shredded, ripped, strapping",,,
,`massacre,n,"slaughter, manslaughter, killing",,,
,`materialism,n,worldliness,,,
,`materialist,n,worldly,,,
,`mediocre,adj,,,[S] average,
,`medium,n,way,,,
,`merit,n,"weight, worth",,,
,`merit,vb,,,[S] deserve,
,`metric,n,,,[S] standard,
,`minimize,vb,,,[S] dismiss,
,`minus,prep,[D1|temperature] below,,,
,`miscellaneous,adj,,,[S] various,
,`mischievous,adj,"waggish, devilish, elvish, impish, knavish",,,
,`misconception,n,"misbelief, untruth, misheld belief",,,
,`misfortune,n,ill-luck,,,
,`misinterpret,vb,"misread, misunderstand, take sth the wrong way, get smn/sth (all) wrong",,,
,`misinterpretation,n,"misreading, misunderstanding",,,
,`mistake,n,"mistake, misstep, blunder, foul up, mess (up), slip up, stumble, fluff, flub, louse up, fumble",screw-up,,
,`misuse,n,,,[S] abuse,
,`modern,adj,"today's, of today, new, latest",,,
,`modest,adj,"down-to-earth, meek",,,
,`moist,adj,"wet, damp, sopping",,,
,`mood,n,"mood, frame of mind, mindset, slant, mind",state of mind,,
,`motivate,vb,"drive, boost, fire smn up, spur, stir, spark",,,
,`motivation,n,"drive, boost, will, willingness, spur",,,
,`mouthpiece,n,"spokesman, tool, shill",,,
,`moving forward,adv,,,[S] henceforth,
,`multifaceted,adj,many-sided,,,
,`multitude,n,"many, a lot, a great many, droves, sea, lots, loads, stacks, heaps, hundreds, thousands",slew,,
,`muscular,adj,"sinewy, rugged, strong, in shape",brawny,,
,`narcissism,n,self-love,,,
,`nascent,adj,,,[S] emerging,
,`nature,n,"(in/into) the wild, wilderness, the outdoors",,,
,`necessity,n,,,[S] requirement,
,`negatively,adv,"in a bad light, for the worse",,,
,`negotiate,vb,"haggle, work out, hammer out, thrash out, hash out, go back and forth about sth",,,
,`negotiation,n,back and forth,,,
,`nervous,adj,,,[S] tense,
,`nominal,adj,"so-called, in name only",,,
,`nonchalant,adj,,,[S] casual,
,`nonchalantly,adv,,,[S] casually,
,`noteable,adj,noteworthy,,,
,`nothing,n,"nothing, nothingness, nought, not a thing",,,MERGE WITH ZERO?
,`notify,vb,"let smn know, tell, warn, make smn aware",,,
,`nude,adj,naked,,,
,`observe,vb,"behold, eye, follow, see",,,
,`obsessed,adj,"hung up on, mad about",,[S] infatuated,
,`obstacle,n,"setback, pitfall, hurdle, snag, holdback, hold-up, hoops, knot, nut, trap, balk, brick/stone wall",,,
,`obstruct,vb,"hinder, stop, stymie, stifle, be/get in the way, get in one's way, stand in the way of",,,
,`obstruction,n,"headwinds, hurdle, holdback, stop, stymie",,,
,`occasionally,adv,"sometimes, every now and then, here and there, on and off, in fits and starts",,[S] in some cases,
,`occupied,adj,Waves mighty high I thank you so,,,
,`of course,interj,"yes, by all means, you/you'd better believe it, you bet","sure thing, you bet",[S] absolutely,
,`old-fashioned,adj,"behind the times, old-time, old-timey",,[S] ancient,
,`omission,n,oversight,,,
,`omit,vb,"leave out, set aside, take out, leave off",count out,,
,`omnibenevolent,adj,all-good,,,
,`omnipotent,adj,almighty,,,
,`omniscient,adj,all-knowing,,,
,`on average,prep,,,[S] generally,
,`on purpose,prep,,,[S] deliberately,
,`oppose,vb,be against,,"[S] resist, disagree, as opposed to",
,`optimism,n,"hope, hopefulness, bullishness",,,
,`origin,n,background,,,
,`originally,adj,,,[S] initially,
,`originate,vb,come from,,,
,`ostensible,adj,,,[S] nominal,
,`ostentatious,adj,"showy, loud, brash",,,
,`out of control,prep phr,out of hand,,,
,`out of the question,adj,"no-go, no way, highly unlikely",,[S] impossible,
,`outmaneuver,vb,"outsmart, outfox, outwit, outslick, fox",,,
,`outperform,vb,"outdo, best, better, dwarf, drub, one up, overmatch, put to shame, show (smn) up, do (smn) one better, go one better (than), shame, overshadow, beat, win (against), thrash",crush,[S] surpass,
,`overestimate,vb,overshoot,,[S] underestimate,
,`overt,adj,open,,,
,`overtly,adv,openly,,,
,`pace,n,"[D1|consistent and continuous speed] clip, speed, swiftness [D2|a single step] step, footstep, stride",,,
,`painful,adj,harrowing,,,
,`parade,vb,,,[S] flaunt,
,`pardon,vb,forgive,,,
,`parody,n,"takeoff, spoof",,,
,`participate,vb,"have a hand in, want in, get into, go in for, get on board, be on board, be in on","take part in, partake, play a part","[S] responsible, involve",
,`participation,n,,"turnout, partaking",,
,`passion,n,"fondness, love, like, liking, craving, lust, longing, yearning, eagerness, worship, steadfastness",,,
,`passionate,adj,"blazing, burning, feverish, fiery, flaming, glowing, hot-blooded, red-hot, warm, warm-blooded",,,
,`passive,adj,on the sidelines,,,
,`pattern,n,through line,,[S] theme,
,`pause,n,letup,,,KEEP?
,`pavement,n,"sidewalk, footpath",,,
,`period,n,time,,[S] time period,
,`peripheral vision,n,,,[S] field of vision,
,`permanently,adv,"forever, for all time, once and for all, for good, for keeps",,,
,`permit,vb,,,[S] allow,
,`persevere,vb,"keep + verb, hang on, keep going, hang in there, gut it out, knuckle down, follow through (with), take heart, keep at, live (to fight) another day, hold one's own",,,
,`persist,vb,"keep + verb-ing, keep at",,,
,`persuade,vb,,,[S] convince,
,`persuasive,adj,,,[S] convincing,
,`pessimism,n,"hopelessness, gloom, doom and gloom",,,
,`phrase,vb,word,,,
,`phrasing,n,wording,,,
,`pillage,vb,plunder,loot,,
,`pinpoint,vb,put one's/a finger on it,,,
,`placate,vb,,,[S] assuage,
,`placenta,n,afterbirth,,,
,`planning,n,"forethought, foresight",,,
,`please,vb,"make smn happy, make smn feel good",,,
,`plus,prep,"besides, after all",,[S] additionally,
,`police,n,cops,,,
,`police officer,n,cop,,,
,`portion,n,"cut, swath, crop",,[S] part,
,`positively,adv,"in a good light, for the better",,,
,`possess,vb,"have, own",,,
,`possessions,n,"belongings, holdings, goods, things, gear",stuff,,
,`potential,adj,likely,,"[S] possible, available",
,`powder,n,dust,,,
,`powerful,adj,"[D1|physically capable] strong, tough, mighty, burly [D2|financially capable]",,[S|D2] rich,
,`powerless,adj,"helpless, weak, mightless",feeble,,
,`practical,adj,"handy, nifty, helpful, come in handy",,[S] useful,
,`practicality,n,handiness,,,
,`practically,adv,,,[S] virtually,
,`preachy,adj,,,[S] didactic,
,`precede,vb,"lead up to, come before, do before, run-up to, beat smn to it",,,
,`preceding,adj,"foregoing, the one before",,,
,`precisely,adv,,,[S] exactly,
,`precocious,adj,"gifted, wise beyond one's years, old beyond one's years",,,
,`predecessor,n,forerunner,,,
,`prediction,n,"forecast, writing on the wall",,,
,`predisposed,adj,,,[S] inclined,
,`predominantly,adv,"almost always, most times, most of the time, overwhelmingly, mostly",for the most part,"[S] largely, in most cases",
,`preface,n,foreword,,,
,`preference,n,"liking, leaning, slant, leaning toward",,,
,`pregnant,adj,with child,,,
,`preparation,n,"warm-up, gearing up, legwork",prep,,
,`prepare,vb,"get ready, make ready, ready, gear up, warm up, set smn up, steel oneself, do one's homework, see sth coming",prep,,
,`present,adj,be here/there,be around,,
,`present,vb,"show, put forth",,,
,`presume,vb,,,[S] assume,
,`primitive,adj,early,,,
,`prior,prep,"before, former, (in the days/months/years) leading up to",,,
,`priority,n,"right of way, come first, first things first",,,
,`probability,n,likelihood,,,
,`probable,adj,likely,,,
,`procrastinate,vb,,,[S] delay,
,`produce,vb,"bring forth, bring out, put out, churn out, make for",,,
,`professional,adj,skilled,,,
,`profit,vb,"be in the black, rake it in, do well out of",make money,[S] benefit,
,`profit,n,"earnings, income, gain(s), yield",,,
,`progressive,adj,forward-thinking,,,
,`prohibit,vb,"forbid, ban, outlaw, put an end to",,,
,`prolong,vb,,,[S] extend,
,`promote,vb,"spread the word, tout, talk up, toot/blow one's own horn, highlight, make known, build up",push,[S] hype,
,`proper,adj,"fitting, seemly, right, becoming",,,
,`proposal,n,bid,offer,,
,`propose,vb,"put forward, put forth, set forth, come up with, moot",offer,"[S] recommend, present",
,`protagonist,n,"star, lead, leading man/woman",,,
,`protect,vb,"shield, look after, look out for, take care of, have (got) smn's back, watch over, keep away from","guard, tend, tend to",[S] defend,
,`protrude,vb,"stick out, poke out",jut out,,
,`provoke,vb,"goad, fire (up), spark, stir",,,
,`publicize,vb,put (sth) out there,,[S] release,
,`pundit,n,talking head,,,
,`purchase,vb,buy,,,
,`pure,adj,sheer,,,
,`quality,n,[D1|something that sets someone apart from others] the makings of,,,
,`quiet,n,"lull, rest, stillness, still, restfulness",soundlessness,,
,`quit,vb,"give (sth) up, swear off, stop, leave",,,
,`rapidly,adv,"fast, quickly, swiftly, speedily, hand over fist, at high speed, with all speed",,,
,`rare,adj,"hard to find/come by, sought-after, few and far between, once-in-a-lifetime",,,
,`rationale,n,,,[S] reasoning,
,`ravine,n,gulch,,,
,"`reasonable, `understandable",adj,"fair, fair enough",,,
,`reasoning,n,"thinking, grounds, line of thought/thinking",,,
,`recall,vb,"[D1|retract] withdraw, take back [D2|to bring back to mind]",,"[S|D1] renege
[S|D2] remember",
,`recently,adv,"lately, (as) of late, the other day, not long ago, a short time/while ago, a little while back",,,
,`reconsider,vb,"think again (about), think sth over",,,
,`record,vb,"film, tape",,[S] document,
,`recover,vb,"bounce back, overcome, get over sth, get back on one's feet, land on one's feet, get well, get better, get stronger, buck, live down",,,
,`rectify,vb,"make sth right, straighten out",,,
,`reduce,vb,,,[S] decrease,
,`reference,n,nod,,[S] allusion,
,`refine,vb,,,[S] improve,
,`refinement,n,,,[S] improvement,
,`refute,vb,,,[S] disprove,
,`regard,vb,,,[S] consider,
,`regard,n,,,[S] consideration,
,`regardless,prep,"notwithstanding, whatever, however, whoever, wherever, anyway, anyhow, all the same, either way, either or, come what may, come hell or high water, come rain or shine, whatever the weather, for all",,[S] no matter,
,`reign,vb,,,[S] rule,
,`reject,vb,"turn down, spurn, shoot down, balk (at)",,,
,`relative,n,next of kin,,,
,"`release, `publish",vb,"put out, come out (with), get sth out, drop, put (sth) out there, drop, get (sth) out the door",,,
,`reliability,n,trustworthiness,,[S] honesty,
,`relic,n,holdover,,,
,`reminiscent,adj,"bring to mind, be a throwback to",,[S] similar,
,`renege,vb,"[D1|to break a promise or agreement] go back on, back down, back out, walk back, back off, cop out, fink out [D2|to solemnly or formally reject or go back on] take back, withdraw, unsay, undo, forswear, give up, back down, back off [D3|to back off out of fear] chicken (out), wimp out",backpedal,,
,`repeat,n,do-over,redo,[S] re-,
,`repeat,vb,"verb + again, verb + over, do (sth) over, happen again, start over, go over sth again",,[S] re-,
,`repel,vb,"ward off, drive away, keep away, keep off",chase off,,
,`represent,vb,"[D1|to present a picture of] outline, show [D2|to serve as a material counterpart of] mean, stand for, body, body forth",,[S] symbolize,
,`representative,n,"spokesman, spokeswoman",,,
,`reputable,adj,upstanding,,"[S] distinguished, honest",ADD MORE
,`request,vb,"ask, ask for, call for",,,
,`request,n,"ask, call",,,
,`requirement,n,"must, must-have, needs, dealbreaker",,,
,`resemble,vb,"be like, look like, take after smn",,[S] similar,
,`residence,n,"house, home, abode",,,
,`resign,vb,"step down, bow out",,,
,`resist,vb,"stand up to, fight against, fight off, put up a fight, buck",,,
,`resistance,n,"misgivings, backlash",pushback,,
,`respect,vb,,,[S] admire,
,`response,n,feedback,,,
,`restrict,vb,,,[S] limit,
,`retaliate,vb,,,[S] avenge,MERGE WITH AVENGE?
,`rethink,vb,,,[S] reconsider,
,`retort,vb,"answer, come back, fire back (at)",,,
,`retort,n,"comeback, answer, clapback",,,
,`retract,vb,,,[S] renege,
,`retreat,n,"flight, pulling back",,,
,`retreat,vb,"withdraw, flee, pull out, draw back, back away, give way, give ground",,,
